word,common_mean,pronunciation,more_mean,definition,synonyms,example 
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
SOFTEN,গলা,Galā,"[verb]{ গলা: soften, thaw, melt, fuse, pass, decompose; গলান: flux, thaw, soften, melt, fuse, decompose; নরম করা: soften, milden, gentle, mollify, attenuate; তরল করা: liquefy, make fluid, dilute, water down, melt, soften; মন গলা: soften; } [ ]{ কোমল: soften, velvety, Gentle, lily, womanish, pulpy; মৃদু: Gentle, kindly, low-pitched, soften; ",[verb]{ 1: make or become less hard. (plant extracts to soften and moisturize the skin) 2: make or become less severe. (some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate) 3: remove mineral salts from (water). (Observations have shown increased copper levels in water softened with ion exchange water softeners.) },"[verb]{ alleviate, ease, relieve, soothe, take the edge off, assuage, cushion, moderate, mitigate, palliate, diminish, blunt, deaden, die down, abate, subside, moderate, let up, calm, diminish, slacken, weaken, yield, relent, buffer, cushion, damp, weaken, break, dampen, mince, moderate}","sales could soften if the economy turns down; When the vegetables have softened , add all the peas and stir them well into the vegetable mix.; If you are using leaf gelatin, put the sheets in cold water to soften .; It's not true that colouring causes loss of hair and leaves the hair dry - with use of correct shampoos and softeners , you can keep your hair healthy.; Watch it carefully to see when it begins to soften , then immediately remove the heat and scrape the adhesive off with a putty knife.; The higher the concentration of these minerals, the more sodium needed to soften the water.; a major injection of private cash could soften the blow for the taxpayer; some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate; Amy's gaze and touch seemed to be successful in softening David.; These interviews make a powerful case that we need to soften the blows that often come with economic changes, even if such changes are inevitable.; Jessica's stony expression softens and she stares at the ground for a moment.; plant extracts to soften and moisturize the skin; Mack admitted, his face softening into a vulnerable expression.; Except I do want to point out that she's fallen for him, and when one does that, it softens the person, you know?; If you are not satisfied with some part of the product, you only need to sprinkle a little water to soften the clay.; sales could soften if the economy turns down; This altruism softened the character enough to make him watchable, but he remained someone you would never wish to meet.; To soften the water, the maid Kikuno would enter the tub first to ‘massage or knead the water’.; Only his tears, his breakdown, had softened his mother, who had spoken to his father.; Observations have shown increased copper levels in water softened with ion exchange water softeners.; Set aside for 10 minutes for the flavours to marry and the vegetables to soften .; Residues from fabric softeners , as well as the fragrances commonly used in them, can be irritating to susceptible people.; He immediately looked up from his maps, his expression softening as he looked up at her.; Before planting, soak seeds overnight in warm water to soften and speed germination.; Then she looked back to Christopher, her expression softening .; It's like reverse psychology - soften the opponent up on defense and you'll distract him from doing what he wants on offense.; When you think loving thoughts your expression softens and your baby will notice your loving looks.; Better to wait until bubbles burst and manage the consequences, softening the economic blow by loosening monetary policy very quickly.; He has softened him up and now he moves to place his Knight on a better square.; Modern household softeners have an automatic backwash or regeneration cycle to clean off the salt and allow it to resume its task."
STODGE,ভারি খাবার,Bhāri khābāra,[ ]{ ভারি খাবার: stodge; কল্পনাশক্তিহীন ব্যক্তি: stodge; নীরস কাজ: stodge; গাণ্ডেপিণ্ডে গেলানো: stodge; ,"[noun]{ 1: food that is heavy, filling, and high in carbohydrates. (she ate her way through a plateful of stodge) 2: dull and uninspired material or work. (Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.) }",None,"Imagine stodge in the middle of August, when all you want is a dainty cucumber sandwich and a bowl of strawberries before skipping off for a game of tennis.; Offer this stodge to people before dinner and they'll eat it.; For supper tonight, three-quarters of us will be eating mainly stodge - a pile of carbohydrates.; she ate her way through a plateful of stodge; The cravings for stodge and carbohydrates are an infallible indicator that cold weather has arrived.; A former army chef has been drafted in to work with schools around the area, to see what can be done to make school dinners, traditionally that byword for stodge , more nutritious.; This time, he put together a menu that was all his own: it was very British food, but executed without a hint of stodge .; If it's stodge and solace you need, then the hearty Scottish breakfast will do the job.; There is much said about how thick or thin a risotto should be, it should be just as you like it, but not a lump of over-cooked stodge .; Walking off all this stodge doesn't really involve a tour of Helsinki's historical sites, galleries or museums.; There's plenty of good stodge on the menu, including favourites such as scampi, macaroni cheese, sausages, lasagne, steak and hand-cut chips.; I've noticed the return of a familiar tightness in the belt area over the past few weeks, which might not be entirely unrelated to the amount of cold-weather stodge that I've been eating recently.; Having endured the worst of American food for the best part of our holiday, with huge portions of inedible, sugar-laden stodge , this was the straw that broke the camel's back.; Toddlers, whose television-watching and eating habits are decided for them, are less susceptible to the lure of marketing men than their parents, who were themselves raised on a diet of stodge .; Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.; In the winter it is more probable we will eat up our stodge , whatever the slight change in temperature.; Memories of over-priced stodge from white vans are more than enough to make even the staunchest burger lover lose his appetite.; From the bruschetta and garlic bread starters to the pizza and pasta main courses, they were all satiating themselves on stodge .; In the evening, with the group left to its own devices for once, we have our first disappointing meal, consisting mainly of flavourless stodge floating in vast amounts of grease.; This is comfort food at its best, whether you crave warmth, sweetness and stodge or simply want to feed your nostalgia.; Compared with the stodge of American papers, their sheer inertness, what's on offer in England never fails to amaze me.; she ate her way through a plateful of stodge; If you're poor in this world, this is how you get your daily energy: a big pile of carbohydrates with a tiny amount of proteins, fats, spice or salt to leaven the stodge .; Most importantly, muffins are not the lardy stodge capsules full of chocolate chips and alien berries which appear to have invaded our shores from America over the last few years."
STRAW LIKE,ভালো লেগেছে,Bhālō lēgēchē,"[adjective]{ তৃণবৎ: grassy, straw-like; ",None,None,None
SPUTTERING,sputtering,Sputtering,"[verb]{ থুতু ফেলা: spit, sputter; ","[verb]{ 1: make a series of soft explosive sounds, typically when being heated or as a symptom of a fault. (the engine sputtered and stopped) 2: deposit (metal) on a surface by using fast ions to eject particles of it from a target. (We prepared the filters for SEM analysis by sputtering a thin gold film on them.) }","[noun]{ sputter, splattering, splutter, spatter, splatter, spattering} [verb]{ shin, scramble, shinny, struggle, skin, clamber, splutter, splutter, spit out}",None
SLAVE-DRIVER,None,None,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; Coat the bottom of a hot steamer with vegetable cooking spray.; The whole thing was cooked into a sort of cake in the steamer .; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; Sailing ships, and later steamers , played a vital part in South Australia's History.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; A few coastal companies began with sailing ships, while others did so with steamers .; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.; Piers were built to serve sailing vessels and steamers from across the bay.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; But in recent years there's been serious slippage , enough to call a trend.; $16 million has been spent on cracks and slippage; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; But these are all slippages easily repaired with firm editorial control’.; Well, at this point they're succeeding pretty well, because we have not seen any slippage on the part of the Democrats.; We hope, if there is any slippage , we can be included in the first round and we feel we should be a priority in the second round.; An adaptive building must allow slippage between each layer, or the slow layers block flow of quick, and quick layers tear up the slow.; So there has understandably been some slippage , but so far the American people generally, unlike the press, aren't panicking.; There are other signs of slippage in anti-tobacco efforts.; Major slippages in body condition can lead to undesirable further problems next year.; No matter how thin the grates, major slippage is bound to occur.; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; She provided an example: In some organizations, slippages in a work schedule are acceptable, as long as there's a reasonable explanation.; This process is called mitotic slippage and yields tetraploid 4N cells.; Any slippage in that timetable they think will be a huge victory for the insurgents and send exactly the wrong message.; Mrs Smyth was worried residents would have had to move into emergency housing over Christmas because of heightened fears about the level of slippage .; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; If further slippages occur in November and December, it would be a cause for attention.; We can only estimate the relative expansion slippage rates and contraction slippage rates compared to the point mutation rate.; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; He didn't have any advice for keeping the feathers equally spread throughout the quilt all night though, apparently even those quilted into squares suffer from feather slippage .; But there was still no sign of slippage last night.; The aftermath of a terrorist attack is the riskiest time for such slippages .; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; These included streamlining training practices and eliminating slippages in deliveries.; In a competitive market, the rest will follow to ensure there ‘is no slippage in their market position’, he said.; In a shower, be sure to have a bath mat to prevent slippage .; Microsatellite lengths change over evolutionary time through a process of replication slippage ."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
SOFTEN,গলা,Galā,"[verb]{ গলা: soften, thaw, melt, fuse, pass, decompose; গলান: flux, thaw, soften, melt, fuse, decompose; নরম করা: soften, milden, gentle, mollify, attenuate; তরল করা: liquefy, make fluid, dilute, water down, melt, soften; মন গলা: soften; } [ ]{ কোমল: soften, velvety, Gentle, lily, womanish, pulpy; মৃদু: Gentle, kindly, low-pitched, soften; ",[verb]{ 1: make or become less hard. (plant extracts to soften and moisturize the skin) 2: make or become less severe. (some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate) 3: remove mineral salts from (water). (Observations have shown increased copper levels in water softened with ion exchange water softeners.) },"[verb]{ alleviate, ease, relieve, soothe, take the edge off, assuage, cushion, moderate, mitigate, palliate, diminish, blunt, deaden, die down, abate, subside, moderate, let up, calm, diminish, slacken, weaken, yield, relent, buffer, cushion, damp, weaken, break, dampen, mince, moderate}","He immediately looked up from his maps, his expression softening as he looked up at her.; His expression softened and his hand was still extended to her, ‘My name's Adam.’; let the vegetables soften over a low heat; This softens the water a little and is fine because of the tap water I have.; But what you should try and find out about is what kind of agents have been added to harden or soften the tap water, as it affects the taste.; sales could soften if the economy turns down; The bombing raid we were victims of was just to soften us up.; We're hoping that maybe you can soften him just enough that he will tell us at least something of what we need to know.; Something sharp and dangerous transformed his face, his expression going from that of a parent trying to soften a blow to a dark anger.; This altruism softened the character enough to make him watchable, but he remained someone you would never wish to meet.; If the chocolate starts to firm, soften over the heated water again.; Sodium hydroxide is a caustic type of chemical that actually softens hair fibers.; Cooking softens the hemicellulose of vegetables, allowing the nutrients that are present in the food to be more accessible for digestion.; ‘We couldn't leave,’ explained Taiyo, her voice softening and her expression falling.; Hard water can be softened with the addition of a handful of washing soda (available from supermarkets) to the wash and rinse cycles.; When you think loving thoughts your expression softens and your baby will notice your loving looks.; the blockade appears a better weapon with which to soften them up for eventual surrender; This will soften Garcia without making him feel threatened.; Despite his ill temper, however, every day that he spends in the calm atmosphere of the peaceful village seems to soften him.; Maura's expression softened as she leaned closer to him.; He also looked exceedingly miserable, an expression which softened only in the slightest at the sight of the coffee.; Set aside for 10 minutes for the flavours to marry and the vegetables to soften .; Residues from fabric softeners , as well as the fragrances commonly used in them, can be irritating to susceptible people.; Louis turned around swiftly, his hard dangerous expression softening slightly at her poor sight.; After softening you up, they drag you en masse to the door.; Mack admitted, his face softening into a vulnerable expression.; Jessica's stony expression softens and she stares at the ground for a moment.; plant extracts to soften and moisturize the skin; sales could soften if the economy turns down; The expression on his face softened as he watched her."
STODGE,ভারি খাবার,Bhāri khābāra,[ ]{ ভারি খাবার: stodge; কল্পনাশক্তিহীন ব্যক্তি: stodge; নীরস কাজ: stodge; গাণ্ডেপিণ্ডে গেলানো: stodge; ,"[noun]{ 1: food that is heavy, filling, and high in carbohydrates. (she ate her way through a plateful of stodge) 2: dull and uninspired material or work. (Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.) }",None,"Having endured the worst of American food for the best part of our holiday, with huge portions of inedible, sugar-laden stodge , this was the straw that broke the camel's back.; There is much said about how thick or thin a risotto should be, it should be just as you like it, but not a lump of over-cooked stodge .; In the evening, with the group left to its own devices for once, we have our first disappointing meal, consisting mainly of flavourless stodge floating in vast amounts of grease.; Imagine stodge in the middle of August, when all you want is a dainty cucumber sandwich and a bowl of strawberries before skipping off for a game of tennis.; she ate her way through a plateful of stodge; Memories of over-priced stodge from white vans are more than enough to make even the staunchest burger lover lose his appetite.; In the winter it is more probable we will eat up our stodge , whatever the slight change in temperature.; Offer this stodge to people before dinner and they'll eat it.; If you're poor in this world, this is how you get your daily energy: a big pile of carbohydrates with a tiny amount of proteins, fats, spice or salt to leaven the stodge .; Walking off all this stodge doesn't really involve a tour of Helsinki's historical sites, galleries or museums.; she ate her way through a plateful of stodge; This time, he put together a menu that was all his own: it was very British food, but executed without a hint of stodge .; Toddlers, whose television-watching and eating habits are decided for them, are less susceptible to the lure of marketing men than their parents, who were themselves raised on a diet of stodge .; If it's stodge and solace you need, then the hearty Scottish breakfast will do the job.; There's plenty of good stodge on the menu, including favourites such as scampi, macaroni cheese, sausages, lasagne, steak and hand-cut chips.; Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.; From the bruschetta and garlic bread starters to the pizza and pasta main courses, they were all satiating themselves on stodge .; Compared with the stodge of American papers, their sheer inertness, what's on offer in England never fails to amaze me.; I've noticed the return of a familiar tightness in the belt area over the past few weeks, which might not be entirely unrelated to the amount of cold-weather stodge that I've been eating recently.; A former army chef has been drafted in to work with schools around the area, to see what can be done to make school dinners, traditionally that byword for stodge , more nutritious.; For supper tonight, three-quarters of us will be eating mainly stodge - a pile of carbohydrates.; The cravings for stodge and carbohydrates are an infallible indicator that cold weather has arrived.; Most importantly, muffins are not the lardy stodge capsules full of chocolate chips and alien berries which appear to have invaded our shores from America over the last few years.; This is comfort food at its best, whether you crave warmth, sweetness and stodge or simply want to feed your nostalgia."
STRAW LIKE,ভালো লেগেছে,Bhālō lēgēchē,"[adjective]{ তৃণবৎ: grassy, straw-like; ",None,None,None
SPUTTERING,sputtering,Sputtering,"[verb]{ থুতু ফেলা: spit, sputter; ","[verb]{ 1: make a series of soft explosive sounds, typically when being heated or as a symptom of a fault. (the engine sputtered and stopped) 2: deposit (metal) on a surface by using fast ions to eject particles of it from a target. (We prepared the filters for SEM analysis by sputtering a thin gold film on them.) }","[noun]{ sputter, splattering, splutter, spatter, splatter, spattering} [verb]{ shin, scramble, shinny, struggle, skin, clamber, splutter, splutter, spit out}",None
SLAVE-DRIVER,ক্রীতদাস চালক,Krītadāsa cālaka,[noun]{ অতি কঠোর উপরত্তয়ালা: slave-driver; ,"[noun]{ 1: a person who oversees and urges on slaves at work. (And, when a slave begins to get out of control, the slave driver has to, in some cases, take drastic measures.) }",[noun]{ },"How many slave-driving fast food chain corporations can claim that?; ‘No Eve, I am not a slave driver , I just want to keep you safe’ he answered rationally, and Eve jerked, raising her head to face him.; You suppress the obvious answer ‘because they slave-drive their staff and try to work out what is going on.; The girls had joked that I was a slave driver even at sleepovers.; Horror stories have been cited of unfortunate junior doctors being forced to work entire weekends on their own with no sleep or food by slave-driver health board paymasters.; But he was a slave-driver and really made people work.; What about the misery, the hardship, the slave-driving new standards?; Isambard Kingdom Brunel made Swindon great but it took blood, sweat, tears and slave-driving .; To slave-driving managers who think it's just for the lazy, he says sleep deprivation is a major cause of irritability, mistakes and accidents.; Other than these two incidents, I was my own personal slave driver .; And Armstrong joked: ‘He can be a bit of a slave-driver because he works you hard.’; Young Irish men worked all week at back-breaking work and on a Saturday evening they were told to report to either the pub owned by the slave-driving employee or a member of his family.; In the eyes of someone who just sees a fragment of my life, they may see me as a dictator, they may see me as a slave driver .; Dick has long been the slave driver of the group as far as getting things ready are concerned.; Pay extra on a student loan or tuck the money away in your savings account to help buy freedom from your slave-driving boss.; An athlete often needs more of a companion than a slave-driver .; Aku had turned from a friend into a slave driver when it came to the dance."
SPLINTS,splints,Splints,"[noun]{ বন্ধফলক: splint; চটা: wicker, splinter, slip of bamboo, lath, splint; বন্ধনফলক: splint; ","[noun]{ 1: a strip of rigid material used for supporting and immobilizing a broken bone when it has been set. (she had to wear splints on her legs) 2: a long, thin strip of wood used to light a fire. (By the light of burning splints , the raiders had marched all the men into the fields and tied them up.) 3: a bony enlargement on the inside of a horse's leg, on the splint bone. (He's got a nasty old splint on the inside of his knee and it often flares up,’ said the Jackdaws Castle trainer.) } [verb]{ 1: secure (a broken limb) with a splint or splints. (his leg was splinted) }",None,None
STUART DAVIS,স্টুয়ার্ট ডেভিস,Sṭuẏārṭa ḍēbhisa,None,None,None,None
SOLO BLAST,SOLO ব্লাস্ট,SOLO blāsṭa,None,None,None,None
STRAIN INSULATOR,স্ট্রিন ইনসুলার,Sṭrina inasulāra,None,None,None,None
STORED UP,স্টোরেড ইউপি,Sṭōrēḍa i'upi,"[adjective]{ মজুত: stock, stored up, reserved; ",None,None,None
SNOW FLOWER TREE,স্নো ফ্লোর ট্রি,Snō phlōra ṭri,None,None,None,None
STOKES' ASTER,স্টকস 'Aster,Sṭakasa'Aster,None,None,None,None
STIFF,শক্ত,Śakta,"[adjective]{ শক্ত: strong, hard, stiff, solid, difficult, sturdy; কঠিন: hard, difficult, solid, stubborn, stiff, stark; অনমনীয়: rigid, inflexible, unyielding, stiff, stubborn, tenacious; দৃঢ়: firm, strong, rigid, solid, sure, stiff; কড়া: strong, hard, severe, heavy, stiff, nappy; মৃত: dead, deceased, late, lifeless, extinct, stiff; অস্পন্দ: motionless, stiff, still; কষ্টসাধ্য: hard, arduous, steep, uphill, difficile, stiff; দুর্দম: indomitable, unruly, unsettled, unstable, irresistible, stiff; ঠাড়মোড়: stiff, torpid, numb; } [ ]{ দৃঢ়: steadfast, resolution, unperturbed, uncompromising; ভাঁজ করতে অসমর্থ: stiff; অনমনীয়: uncompromising, adamant, buckram, obdurate, ossify, rock-ribbed; ","[adjective]{ 1: not easily bent or changed in shape; rigid. (a stiff black collar) 2: severe or strong. (they face stiff fines and a possible jail sentence) 3: full of. (the place is stiff with alarm systems) 4: having a specified unpleasant feeling to an extreme extent. (she was scared stiff) 5: a card that is the only one of its suit in a hand. (two red aces and a stiff club) } [noun]{ 1: a dead body. (When the bodies of various stiffs start disappearing from the local morgue, the police are baffled as to where they've gone.) 2: a boring, conventional person. (ordinary working stiffs in respectable offices) } [verb]{ 1: cheat (someone) out of something, especially money. (several workers were stiffed out of their pay) 2: ignore deliberately; snub. (And in this case, he was very interested in all of the questions, did not stiff them or brush them off.) 3: kill. (I want to get those pigs who stiffed your doctor) }","[adjective]{ rigid, hard, firm, inelastic, inflexible, semisolid, viscous, viscid, thick, stiffened, firm, aching, achy, painful, arthritic, rheumatic, creaky, rusty, formal, reserved, unfriendly, chilly, cold, frigid, icy, austere, wooden, forced, strained, stilted, starchy, uptight, standoffish, harsh, severe, heavy, crippling, punishing, stringent, drastic, draconian, vigorous, determined, full of determination, strong, spirited, resolute, tenacious, steely, four-square, unflagging, unyielding, dogged, stubborn, obdurate, rock-ribbed, difficult, hard, arduous, tough, strenuous, laborious, uphill, exacting, tiring, demanding, formidable, challenging, punishing, grueling, killing, hellish, strong, fresh, brisk, strong, potent, alcoholic, strong, potent, sozzled, wet, loaded, pissed, pixilated, plastered, soaked, cockeyed, fuddled, blotto, crocked, sloshed, tight, squiffy, smashed, besotted, pie-eyed, blind drunk, soused, starchy, buckram, steadfast, unwavering, firm, unshakable, steady, unfaltering, unbendable, rigid} [noun]{ cadaver, corpse, remains, clay} [adverb]{ stiffly}","""They'll see that in the paper and think I'm scared stiff ,"" he said.; It might be fun and it would certainly beat sitting here bored stiff !; Actually, they look bored stiff , but you see his point.; The lawyers are arguing that that fine is just too stiff .; In a traditional yurt, the framework is covered with felt mats and tied down with hair ropes to prevent the mats from blowing off in stiff winds.; They performed lewd acts, taunted the police, harassed the stiffs and produced great art.; Even the most stiff nominal tax rate would turn out to be a very meager tax burden for landowners.; If you appear stiff , reserved, timid and insecure, they will feel repulsed.; I'm going to go home and walk my dog and hug my wife and maybe get a good Mexican meal and a stiff margarita and a full night's sleep.; With all that cash tucked under the mattress, it is not easy for a working stiff to understand why he wants to do an Edinburgh show.; The duo have dispensed with plastic CD casings and fashioned their covers from stiff cardboard.; When the bodies of various stiffs start disappearing from the local morgue, the police are baffled as to where they've gone.; But the new rates put a premium on using those accounts for investments that would otherwise face stiff taxes - like bonds.; My body was stiff and sore from the rest I got while belaying.; Whip the cream in a large chilled bowl until lusciously thick but not stiff .; He seems to be a rather stiff and aloof character.; Every morning the same four guys came in, ate the same eggs-and-potatoes configurations, repeated the same harangue about how I was personally responsible for their lack of overtime, and stiffed me.; Then your arm swings forward firmly, not stiffly , brushing the side of your skirt or trousers.; But working stiffs who slave all day to pay the Hydro bills can sometimes barely get a peek out the window as the circus rolls by.; Through the primaries, everyone said he could be aloof and cold, stiff and ambitious.; They'd been distant and stiff with each other since the truth about the bet had come out.; His brother certainly looked uncomfortable in his city clothes, pulling constantly at his stiff collar.; He rolled his shoulders, trying to loosen them up from the stiff black tux he was wearing.; My legs were stiff and a little sore from sitting still so long.; Needless to say, what sounds like a reasonable idea met with stiff resistance.; We dropped his car off, and then drove over to the pub and continued with another couple of stiff drinks.; Once relaxed and happy, Lena now seemed stiff , like a drill sergeant or something.; But having stiffed the world and threatened U.S. allies, they may be rewarded with trade, aid and the global respect they've coveted for decades.; He was the only one not stiff and unresponsive with worry.; The Pope, who aides say is losing sleep over the possibility of war, celebrated a Mass that began with a stiff wind blowing in from Siberia over the flat steppes and ended in sunshine."
SPUE,ভযঙ্কর,Bhayaṅkara,None,None,None,None
